Date,Actual,Predicted,Window,ActualReturn,Error,PercentError,VolatilityPct,Trend,MarketCondition,PreviousPrice,Position,StrategyReturn,TradeChanged,TransactionCost,StrategyReturnAfterCosts,CumulativeMarketReturn,CumulativeStrategyReturn,MarketPortfolioValue,StrategyPortfolioValue,StrategyPeak,StrategyDrawdown,YearMonth
2023-09-28 00:00:00+00:00,132.3099976,127.02176,15,0.013559095992385028,5.288238566796878,3.996854858076785,19.875910247244427,-0.1076195095237722,Normal,130.5399933,-1,-0.013559095992385028,False,0.0,-0.013559095992385028,0.18369083205167502,-0.23223894086757746,118369.0832051675,76776.10591324225,112859.7927268424,-31.972136348800912,2023-09
2023-09-29 00:00:00+00:00,130.8600006,127.02176,15,-0.010959088703059505,3.8382415667968814,2.933089981047181,19.795543468339297,-0.2390478238095568,Normal,132.3099976,-1,0.010959088703059505,False,0.0,0.010959088703059505,0.17071865922622242,-0.22382497931779033,117071.86592262224,77617.50206822097,112859.7927268424,-31.226612956767774,2023-09
2023-10-02 00:00:00+00:00,134.1699982,127.02176,15,0.02529418909386738,7.148239166796884,5.327747829392818,21.879269926950933,-0.09523809523807358,Normal,130.8600006,-1,-0.02529418909386738,False,0.0,-0.02529418909386738,0.20033103836840938,-0.2434576970608625,120033.10383684094,75654.23029391374,112859.7927268424,-32.966180013265024,2023-10
2023-10-03 00:00:00+00:00,132.4299927,127.87698,15,-0.012968663064348185,4.553009057421889,3.4380497684811004,22.275328834818136,-0.15381004761903228,Normal,134.1699982,-1,0.012968663064348185,False,0.0,0.012968663064348185,0.1847643495661302,-0.23364635484011875,118476.43495661303,76635.36451598813,112859.7927268424,-32.09684098794088,2023-10
2023-10-04 00:00:00+00:00,135.2400055,127.02176,15,0.021218854903704676,8.21824646679687,6.076786551740321,23.57439878659229,-0.025238038095267257,Normal,132.4299927,-1,-0.021218854903704676,False,0.0,-0.021218854903704676,0.209903692394656,-0.2499075016416914,120990.3692394656,75009.24983583087,112859.7927268424,-33.537668266520946,2023-10
2023-10-05 00:00:00+00:00,135.0700073,127.02176,15,-0.0012570111881576862,8.048248266796861,5.958575428904165,23.32315651699672,0.029047647619080408,Normal,135.2400055,-1,0.0012570111881576862,False,0.0,0.0012570111881576862,0.20838282991672252,-0.24896462697910182,120838.28299167225,75103.53730208981,112859.7927268424,-33.45412437194092,2023-10
2023-10-06 00:00:00+00:00,137.5800018,127.02176,15,0.018582915261306843,10.558242766796866,7.674256889562613,24.104936336479117,0.11047653809521307,Normal,135.0700073,-1,-0.018582915261306843,False,0.0,-0.018582915261306843,0.2308381056482831,-0.26292105367419316,123083.81056482831,73707.89463258069,112859.7927268424,-34.69074073972659,2023-10
2023-10-09 00:00:00+00:00,138.4199982,127.02176,15,0.00610551234925194,11.398239166796884,8.234532087139474,24.03292927595207,0.09714253809522688,Normal,137.5800018,-1,-0.00610551234925194,False,0.0,-0.00610551234925194,0.23835300290224848,-0.26742129828335903,123835.30029022484,73257.8701716641,112859.7927268424,-35.0894872286607,2023-10
2023-10-10 00:00:00+00:00,138.0599976,127.02176,15,-0.002600784602524331,11.038238566796878,7.995247543591785,24.03228415779272,0.05428568571429082,Normal,138.4199982,-1,0.002600784602524331,False,0.0,0.002600784602524331,0.23513231347981045,-0.265516018875797,123513.23134798104,73448.3981124203,112859.7927268424,-34.92066896650303,2023-10
2023-10-11 00:00:00+00:00,140.5500031,127.02176,15,0.018035676830983727,13.528244066796873,9.625217907090088,24.346474342764747,0.24809556190479043,Normal,138.0599976,-1,-0.018035676830983727,False,0.0,-0.018035676830983727,0.2574087607292377,-0.2787629345968875,125740.87607292377,72123.70654031125,112859.7927268424,-36.09441874939979,2023-10
